Price,Cities,departure_time,arrival_time,Airline,Cabin,Dept_city,Dept_date,arrival_city,stops,duration_time,duration,weekday,dept_hours,Dept_flights_time,optimal_hours
4397,"Bengaluru to Thiruvananthapuram , 11 May",13:15,14:45,Spicejet,PE,Bengaluru,11,Thiruvananthapuram ,0,0 days 01:30:00,90.0,1,13,Afternoon_flight,18
8966,"Bengaluru to Bhubaneswar , 11 May",17:45,09:05,Vistara,PE,Bengaluru,11,Bhubaneswar ,1,-1 days +15:20:00,920.0,1,17,Evening_flight,22
8068,"Bengaluru to Bagdogra , 11 May",17:45,09:45,Vistara,PE,Bengaluru,11,Bagdogra ,1,-1 days +16:00:00,960.0,1,17,Evening_flight,22
7262,"Bengaluru to Bagdogra , 12 May",05:15,12:50,Spicejet,PE,Bengaluru,12,Bagdogra ,1,0 days 07:35:00,455.0,2,5,Morning_flight,10
8053,"Bengaluru to Bagdogra , 11 May",05:55,08:50,Spicejet,PE,Bengaluru,11,Bagdogra ,0,0 days 02:55:00,175.0,1,5,Morning_flight,10
9964,"Bengaluru to Bagdogra , 11 May",18:05,12:50,Spicejet,PE,Bengaluru,11,Bagdogra ,1,-1 days +18:45:00,1125.0,1,18,Evening_flight,23
12079,"Bengaluru to Varanasi , 11 May",05:55,07:45,Spicejet,PE,Bengaluru,11,Varanasi ,1,0 days 01:50:00,110.0,1,5,Morning_flight,10
8582,"Bengaluru to Srinagar , 11 May",17:45,12:05,Vistara,PE,Bengaluru,11,Srinagar ,1,-1 days +18:20:00,1100.0,1,17,Evening_flight,22
7473,"Bengaluru to Chandigarh , 11 May",17:45,14:45,Vistara,PE,Bengaluru,11,Chandigarh ,1,-1 days +21:00:00,1260.0,1,17,Evening_flight,22
8601,"Bengaluru to Raipur , 11 May",17:45,08:20,Vistara,PE,Bengaluru,11,Raipur ,1,-1 days +14:35:00,875.0,1,17,Evening_flight,22
4068,"Bengaluru to Mangalore , 11 May",07:15,08:05,Spicejet,PE,Bengaluru,11,Mangalore ,0,0 days 00:50:00,50.0,1,7,Morning_flight,12
5497,"Hyderabad to New Delhi , 11 May",17:40,19:55,Vistara,PE,Hyderabad,11,New Delhi ,0,0 days 02:15:00,135.0,1,17,Evening_flight,22
8170,"Hyderabad to Mumbai , 11 May",17:40,15:00,Vistara,PE,Hyderabad,11,Mumbai ,1,-1 days +21:20:00,1280.0,1,17,Evening_flight,22
8170,"Hyderabad to Mumbai , 11 May",17:40,17:40,Vistara,PE,Hyderabad,11,Mumbai ,1,0 days 00:00:00,0.0,1,17,Evening_flight,22
8168,"Hyderabad to Kolkata , 11 May",17:40,09:35,Vistara,PE,Hyderabad,11,Kolkata ,1,-1 days +15:55:00,955.0,1,17,Evening_flight,22
11024,"Hyderabad to Guwahati , 11 May",08:10,20:25,Spicejet,PE,Hyderabad,11,Guwahati ,1,0 days 12:15:00,735.0,1,8,Morning_flight,13
6716,"Hyderabad to Patna , 11 May",08:10,10:10,Spicejet,PE,Hyderabad,11,Patna ,0,0 days 02:00:00,120.0,1,8,Morning_flight,13
8168,"Hyderabad to Bhubaneswar , 11 May",17:40,09:05,Vistara,PE,Hyderabad,11,Bhubaneswar ,1,-1 days +15:25:00,925.0,1,17,Evening_flight,22
7369,"Hyderabad to Bagdogra , 11 May",17:40,09:45,Vistara,PE,Hyderabad,11,Bagdogra ,1,-1 days +16:05:00,965.0,1,17,Evening_flight,22
4826,"Hyderabad to Visakhapatnam , 11 May",06:45,08:30,Spicejet,PE,Hyderabad,11,Visakhapatnam ,0,0 days 01:45:00,105.0,1,6,Morning_flight,11
7223,"Hyderabad to Amritsar , 11 May",17:40,14:50,Vistara,PE,Hyderabad,11,Amritsar ,1,-1 days +21:10:00,1270.0,1,17,Evening_flight,22
12390,"Hyderabad to Amritsar , 11 May",08:10,11:25,Spicejet,PE,Hyderabad,11,Amritsar ,1,0 days 03:15:00,195.0,1,8,Morning_flight,13
6678,"Hyderabad to Chandigarh , 11 May",17:40,14:45,Vistara,PE,Hyderabad,11,Chandigarh ,1,-1 days +21:05:00,1265.0,1,17,Evening_flight,22
7804,"Hyderabad to Raipur , 11 May",17:40,08:20,Vistara,PE,Hyderabad,11,Raipur ,1,-1 days +14:40:00,880.0,1,17,Evening_flight,22
6591,"Chennai to New Delhi , 11 May",17:25,20:10,Vistara,PE,Chennai,11,New Delhi ,0,0 days 02:45:00,165.0,1,17,Evening_flight,22
21755,"Chennai to New Delhi , 11 May",14:10,11:20,Spicejet,PE,Chennai,11,New Delhi ,1,-1 days +21:10:00,1270.0,1,14,Afternoon_flight,19
4680,"Chennai to Kolkata , 12 May",05:20,14:20,Spicejet,PE,Chennai,12,Kolkata ,1,0 days 09:00:00,540.0,2,5,Morning_flight,10
9226,"Chennai to Goa , 11 May",05:20,11:05,Spicejet,PE,Chennai,11,Goa ,1,0 days 05:45:00,345.0,1,5,Morning_flight,10
19516,"Chennai to Guwahati , 11 May",08:30,10:50,Spicejet,PE,Chennai,11,Guwahati ,0,0 days 02:20:00,140.0,1,8,Morning_flight,13
17385,"Chennai to Jaipur , 11 May",08:30,14:20,Spicejet,PE,Chennai,11,Jaipur ,1,0 days 05:50:00,350.0,1,8,Morning_flight,13
14870,"Chennai to Patna , 11 May",14:10,16:40,Spicejet,PE,Chennai,11,Patna ,0,0 days 02:30:00,150.0,1,14,Afternoon_flight,19
4562,"Chennai to Thiruvananthapuram , 11 May",05:20,14:45,Spicejet,PE,Chennai,11,Thiruvananthapuram ,1,0 days 09:25:00,565.0,1,5,Morning_flight,10
6706,"Chennai to Srinagar , 11 May",06:25,08:00,Spicejet,PE,Chennai,11,Srinagar ,1,0 days 01:35:00,95.0,1,6,Morning_flight,11
